record,1,",","""Genesis"""
record,2,",","""Exodus"""
record,3,",","""Leviticus"""
record,4,",","""Numbers"""
record,5,",","""Deuteronomy"""
record,6,",","""Joshua"""
record,7,",","""Judges"""
record,8,",","""Ruth"""
record,9,",","""1 Samuel"""
record,10,",","""2 Samuel"""
record,11,",","""1 Kings"""
record,12,",","""2 Kings"""
record,13,",","""1 Chronicles"""
record,14,",","""2 Chronicles"""
record,15,",","""Ezra"""
record,16,",","""Nehemiah"""
record,17,",","""Esther"""
record,18,",","""Job"""
record,19,",","""Psalms"""
record,20,",","""Proverbs"""
record,21,",","""Ecclesiastes"""
record,22,",","""Song of Solomon"""
record,23,",","""Isaiah"""
record,24,",","""Jeremiah"""
record,25,",","""Lamentations"""
record,26,",","""Ezekiel"""
record,27,",","""Daniel"""
record,28,",","""Hosea"""
record,29,",","""Joel"""
record,30,",","""Amos"""
record,31,",","""Obadiah"""
record,32,",","""Jonah"""
record,33,",","""Micah"""
record,34,",","""Nahum"""
record,35,",","""Habakkuk"""
record,36,",","""Zephaniah"""
record,37,",","""Haggai"""
record,38,",","""Zechariah"""
record,39,",","""Malachi"""
record,40,",","""Matthew"""
record,41,",","""Mark"""
record,42,",","""Luke"""
record,43,",","""John"""
record,44,",","""Acts"""
record,45,",","""Romans"""
record,46,",","""1 Corinthians"""
record,47,",","""2 Corinthians"""
record,48,",","""Galatians"""
record,49,",","""Ephesians"""
record,50,",","""Philippians"""
record,51,",","""Colossians"""
record,52,",","""1 Thessalonians"""
record,53,",","""2 Thessalonians"""
record,54,",","""1 Timothy"""
record,55,",","""2 Timothy"""
record,56,",","""Titus"""
record,57,",","""Philemon"""
record,58,",","""Hebrews"""
record,59,",","""James"""
record,60,",","""1 Peter"""
record,61,",","""2 Peter"""
record,62,",","""1 John"""
record,63,",","""2 John"""
record,64,",","""3 John"""
record,65,",","""Jude"""
record,66,",","""Revelation"""
